product_id,product_name,category_id,supplier_id,price,cost,weight_kg,dimensions_cm,description,sku,barcode,status,created_date,is_featured
25,Sofa Sofa 880,26,100,893.21,575.06,10.1,118x197x72,High-quality sofa sofa 880 perfect for everyday use.,SKU237388,328256675229,active,2025-02-19,False
26,Smart Watch Smart Watch 829,1,97,327.93,181.64,12.76,44x93x148,High-quality smart watch smart watch 829 perfect for everyday use.,SKU802916,915434177186,active,2024-02-27,False
27,Cat Toy Basic 514,12,80,5.86,2.19,16.94,100x172x17,High-quality cat toy basic 514 perfect for everyday use.,SKU508537,799637669167,out_of_stock,2024-05-26,False
28,Sneakers Sneakers 217,2,88,134.42,54.93,13.86,65x6x129,High-quality sneakers sneakers 217 perfect for everyday use.,SKU801499,350462114428,active,2024-03-05,False
29,Paint Set Paint Set 431,15,10,33.17,21.74,19.33,107x174x19,High-quality paint set paint set 431 perfect for everyday use.,SKU633429,416902208092,active,2023-11-19,False
30,Shampoo Shampoo 495,6,61,9.08,5.38,15.99,150x23x49,High-quality shampoo shampoo 495 perfect for everyday use.,SKU756627,175847783429,active,2024-09-16,True
31,Notebook Basic 437,14,86,11.42,3.5,36.07,156x59x156,High-quality notebook basic 437 perfect for everyday use.,SKU436635,703231847301,active,2024-05-08,False
32,T-Shirt T-Shirt 100,2,22,43.39,13.33,8.0,8x23x164,High-quality t-shirt t-shirt 100 perfect for everyday use.,SKU783701,205210079003,active,2025-05-12,False
33,Tablet Tablet 306,1,56,542.94,326.18,31.05,123x141x150,High-quality tablet tablet 306 perfect for everyday use.,SKU778707,544331130970,discontinued,2025-08-22,False
34,Desk Chair Ultra 536,26,11,247.16,121.99,49.26,52x38x117,High-quality desk chair ultra 536 perfect for everyday use.,SKU783707,840406849956,active,2025-08-31,False
35,Board Game Board Game 530,7,27,34.1,21.7,34.28,183x182x84,High-quality board game board game 530 perfect for everyday use.,SKU312876,761920122355,discontinued,2025-06-27,False
36,Dumbbells Dumbbells 131,46,75,96.77,55.05,9.17,36x42x16,High-quality dumbbells dumbbells 131 perfect for everyday use.,SKU266240,744765006139,active,2025-07-20,False
37,Laptop Laptop 487,1,82,990.6,409.23,46.09,127x6x187,High-quality laptop laptop 487 perfect for everyday use.,SKU152367,250328968993,active,2024-07-25,False
38,Blender Blender 657,27,52,113.19,53.66,22.45,120x84x27,High-quality blender blender 657 perfect for everyday use.,SKU540181,322548952013,active,2024-08-30,False
39,Coffee Maker Basic 133,27,41,53.46,21.26,23.57,14x155x194,High-quality coffee maker basic 133 perfect for everyday use.,SKU504877,400540557711,active,2024-02-28,False
40,T-Shirt T-Shirt 212,2,46,45.9,24.15,34.83,62x87x57,High-quality t-shirt t-shirt 212 perfect for everyday use.,SKU151952,506710731904,active,2024-01-30,False
41,Laptop Laptop 212,1,53,913.06,332.76,21.39,65x25x85,High-quality laptop laptop 212 perfect for everyday use.,SKU743911,780857630145,active,2024-03-04,False
42,Paint Set Paint Set 457,15,56,75.74,35.26,48.62,197x72x79,High-quality paint set paint set 457 perfect for everyday use.,SKU881534,435958383409,active,2023-10-03,False
43,Tablet Tablet 505,1,32,541.63,293.23,12.2,185x71x75,High-quality tablet tablet 505 perfect for everyday use.,SKU706411,411174204841,active,2025-02-09,False
44,Jacket Ultra 249,2,65,118.17,63.5,30.31,127x190x60,High-quality jacket ultra 249 perfect for everyday use.,SKU703580,806664621213,active,2024-04-12,False
45,Jacket Max 108,2,58,249.61,150.79,34.59,34x127x199,High-quality jacket max 108 perfect for everyday use.,SKU145457,458539275052,active,2024-11-24,False
46,Desk Chair Deluxe 479,26,17,201.0,124.65,6.37,67x7x15,High-quality desk chair deluxe 479 perfect for everyday use.,SKU416430,723964850083,discontinued,2024-07-12,False
47,Dumbbells Plus 680,4,95,33.82,10.52,5.42,34x57x192,High-quality dumbbells plus 680 perfect for everyday use.,SKU583887,681350619982,discontinued,2023-10-06,False
48,Jeans Jeans 743,2,1,94.2,46.02,21.57,25x151x161,High-quality jeans jeans 743 perfect for everyday use.,SKU329009,177070533133,active,2025-01-04,False
49,Bed Frame Basic 506,26,29,432.73,144.47,27.58,17x57x80,High-quality bed frame basic 506 perfect for everyday use.,SKU292484,273548442984,discontinued,2023-11-12,False
50,Smartphone Standard 399,1,84,464.8,215.03,15.13,174x120x187,High-quality smartphone standard 399 perfect for everyday use.,SKU707592,655836135602,active,2023-10-20,False
51,Cat Toy Cat Toy 653,12,84,17.47,5.47,35.42,41x150x76,High-quality cat toy cat toy 653 perfect for everyday use.,SKU499957,743185368087,active,2025-08-08,False
52,Dog Food Dog Food 598,12,60,37.53,15.55,49.68,82x58x86,High-quality dog food dog food 598 perfect for everyday use.,SKU161284,349774535032,active,2024-03-28,False
53,Yoga Mat Premium 532,4,97,46.5,17.32,43.62,199x45x55,High-quality yoga mat premium 532 perfect for everyday use.,SKU310807,671803927863,active,2025-04-25,False
54,Sneakers Ultra 438,2,28,116.18,80.93,0.6,10x61x55,High-quality sneakers ultra 438 perfect for everyday use.,SKU365959,612854706759,active,2024-07-04,True
55,Baby Diaper Baby Diaper 538,13,2,34.58,15.43,21.4,127x161x161,High-quality baby diaper baby diaper 538 perfect for everyday use.,SKU464247,996578304654,active,2024-11-10,False
56,Notebook Basic 315,14,23,5.84,3.95,36.76,147x71x129,High-quality notebook basic 315 perfect for everyday use.,SKU278915,131074036025,discontinued,2025-02-19,False
57,Smart Watch Premium 569,1,75,173.84,119.76,39.88,9x28x121,High-quality smart watch premium 569 perfect for everyday use.,SKU852562,826551298970,active,2025-05-16,False
58,Yoga Mat Yoga Mat 999,4,34,64.72,43.14,27.37,191x31x126,High-quality yoga mat yoga mat 999 perfect for everyday use.,SKU773388,858646110880,active,2024-05-09,False
59,Jacket Ultra 370,2,70,88.51,39.29,43.63,117x44x178,High-quality jacket ultra 370 perfect for everyday use.,SKU591950,261614990696,active,2024-10-16,False
60,Tablet Pro 921,1,44,773.47,473.96,37.94,77x187x70,High-quality tablet pro 921 perfect for everyday use.,SKU631767,914861412199,active,2025-05-01,False
61,Sofa Sofa 562,26,24,1360.11,919.7,4.32,17x35x140,High-quality sofa sofa 562 perfect for everyday use.,SKU580132,666789698240,active,2025-08-17,False
62,Yoga Mat Yoga Mat 860,50,10,58.78,33.38,2.57,129x79x182,High-quality yoga mat yoga mat 860 perfect for everyday use.,SKU137805,794916851198,active,2025-02-10,False
63,Yoga Mat Yoga Mat 734,4,23,58.95,34.06,36.79,200x33x131,High-quality yoga mat yoga mat 734 perfect for everyday use.,SKU206979,289720145081,active,2025-05-06,False
64,Dumbbells Standard 286,46,38,41.45,18.42,5.74,50x101x178,High-quality dumbbells standard 286 perfect for everyday use.,SKU436071,992000708982,active,2025-01-05,False
65,Dog Food Dog Food 296,12,1,56.35,33.59,40.84,56x79x80,High-quality dog food dog food 296 perfect for everyday use.,SKU416713,435086999110,active,2024-05-02,False
66,Sofa Standard 121,26,48,1706.66,519.05,18.94,134x180x94,High-quality sofa standard 121 perfect for everyday use.,SKU174838,944442442585,active,2024-11-12,False
67,Cat Toy Cat Toy 738,12,55,15.53,5.79,10.54,158x194x86,High-quality cat toy cat toy 738 perfect for everyday use.,SKU534230,393059239934,active,2025-03-23,False
68,Sofa Sofa 274,26,20,740.03,328.19,4.12,107x94x143,High-quality sofa sofa 274 perfect for everyday use.,SKU187781,989667084350,active,2024-01-18,False
69,Dog Food Dog Food 261,12,10,26.04,10.79,43.25,110x60x15,High-quality dog food dog food 261 perfect for everyday use.,SKU259000,450432447811,active,2024-11-09,False
70,Baby Diaper Plus 574,13,83,31.71,19.82,41.35,190x80x175,High-quality baby diaper plus 574 perfect for everyday use.,SKU901054,301665702674,active,2025-08-16,False
71,Tablet Tablet 738,1,71,508.62,284.08,9.81,190x32x62,High-quality tablet tablet 738 perfect for everyday use.,SKU786504,935535678289,active,2025-08-18,True
72,Shampoo Shampoo 260,6,23,9.09,5.06,4.81,49x24x100,High-quality shampoo shampoo 260 perfect for everyday use.,SKU885575,659617370301,discontinued,2023-11-20,False
73,Headphones Headphones 990,1,64,158.86,74.17,14.97,7x31x200,High-quality headphones headphones 990 perfect for everyday use.,SKU711161,680291894377,out_of_stock,2024-10-29,False
74,Bed Frame Bed Frame 412,26,87,650.05,412.7,39.75,50x150x133,High-quality bed frame bed frame 412 perfect for everyday use.,SKU622010,801979093477,active,2024-04-09,False
75,Board Game Board Game 497,7,52,45.51,18.78,38.78,35x157x116,High-quality board game board game 497 perfect for everyday use.,SKU859400,336778545601,active,2024-11-29,False
76,Headphones Headphones 546,1,25,252.17,93.71,15.35,21x16x77,High-quality headphones headphones 546 perfect for everyday use.,SKU271017,377505285501,active,2024-04-02,False
77,Headphones Headphones 623,1,90,279.26,147.27,4.59,162x119x44,High-quality headphones headphones 623 perfect for everyday use.,SKU965476,549942283222,discontinued,2024-02-04,False
78,Toothbrush Toothbrush 639,9,90,4.16,1.52,36.79,10x19x61,High-quality toothbrush toothbrush 639 perfect for everyday use.,SKU552975,548490141570,active,2025-09-07,False
79,Notebook Notebook 163,14,96,5.08,3.43,16.9,144x106x53,High-quality notebook notebook 163 perfect for everyday use.,SKU201042,452203848931,active,2023-12-22,True
80,T-Shirt Plus 663,2,71,39.84,26.86,46.25,162x48x173,High-quality t-shirt plus 663 perfect for everyday use.,SKU916162,944238336292,active,2024-01-11,True
81,Blender Blender 542,27,56,58.04,28.03,42.9,50x147x57,High-quality blender blender 542 perfect for everyday use.,SKU625967,840389502965,discontinued,2025-03-04,False
82,Sofa Sofa 185,26,81,1258.49,697.2,45.66,197x108x50,High-quality sofa sofa 185 perfect for everyday use.,SKU516965,213622826372,out_of_stock,2025-01-18,False
83,Book Max 294,5,21,13.1,6.58,11.36,160x44x30,High-quality book max 294 perfect for everyday use.,SKU805719,905341165023,active,2025-02-11,False
84,T-Shirt T-Shirt 845,2,42,44.96,22.99,38.24,184x10x108,High-quality t-shirt t-shirt 845 perfect for everyday use.,SKU605705,523024249670,active,2025-06-23,False
85,Coffee Maker Coffee Maker 271,27,69,50.94,33.6,42.83,73x68x24,High-quality coffee maker coffee maker 271 perfect for everyday use.,SKU751343,611648440213,active,2024-01-16,False
86,Coffee Maker Coffee Maker 615,27,76,154.22,68.0,42.68,169x68x143,High-quality coffee maker coffee maker 615 perfect for everyday use.,SKU826431,483535891905,active,2023-11-22,False
87,Notebook Notebook 941,14,49,15.98,9.28,47.67,107x141x103,High-quality notebook notebook 941 perfect for everyday use.,SKU900817,770748542708,active,2024-10-01,False
88,Headphones Headphones 309,1,73,127.01,63.87,8.21,88x62x159,High-quality headphones headphones 309 perfect for everyday use.,SKU386081,579623990741,discontinued,2023-12-25,False
89,Paint Set Paint Set 239,15,57,56.86,30.88,23.81,200x163x110,High-quality paint set paint set 239 perfect for everyday use.,SKU543601,434994632368,active,2025-07-26,False
90,Shampoo Shampoo 675,6,59,8.07,4.94,34.02,70x148x95,High-quality shampoo shampoo 675 perfect for everyday use.,SKU818886,411689979633,active,2024-08-09,False
91,Desk Chair Desk Chair 921,26,53,251.22,105.74,14.52,122x137x166,High-quality desk chair desk chair 921 perfect for everyday use.,SKU460041,538972535055,active,2024-02-11,False
92,Bed Frame Bed Frame 399,26,34,665.84,341.9,0.59,159x47x174,High-quality bed frame bed frame 399 perfect for everyday use.,SKU771098,986974181849,active,2024-08-21,False
93,Board Game Pro 267,7,6,35.94,24.6,14.56,159x20x9,High-quality board game pro 267 perfect for everyday use.,SKU980664,295611554783,active,2024-12-25,False
94,Jacket Jacket 888,2,70,117.64,61.47,9.58,175x15x89,High-quality jacket jacket 888 perfect for everyday use.,SKU605903,831454926186,active,2024-03-24,False
95,Toothbrush Max 666,9,31,7.17,4.97,46.28,119x99x8,High-quality toothbrush max 666 perfect for everyday use.,SKU149538,331930947870,active,2025-08-12,False
96,Notebook Notebook 512,14,100,6.53,4.28,32.29,9x96x104,High-quality notebook notebook 512 perfect for everyday use.,SKU407006,710302360442,active,2025-01-04,False
97,Jeans Jeans 780,2,56,107.57,74.89,2.68,199x127x189,High-quality jeans jeans 780 perfect for everyday use.,SKU120453,231656328477,active,2024-04-03,False
98,Coffee Maker Plus 537,27,7,105.85,60.88,45.95,82x69x38,High-quality coffee maker plus 537 perfect for everyday use.,SKU730669,529682555041,active,2024-05-21,False
99,Board Game Board Game 510,7,39,52.74,23.72,18.95,37x34x87,High-quality board game board game 510 perfect for everyday use.,SKU460912,755460464453,discontinued,2024-07-09,False
100,Smart Watch Smart Watch 886,1,24,212.39,143.49,0.49,65x60x167,High-quality smart watch smart watch 886 perfect for everyday use.,SKU778970,424956824097,active,2024-07-05,False
101,Jacket Jacket 498,2,42,131.61,54.67,11.22,116x88x48,High-quality jacket jacket 498 perfect for everyday use.,SKU201071,356915413793,active,2024-03-30,False
102,Laptop Laptop 240,1,28,1001.23,592.19,35.11,157x19x5,High-quality laptop laptop 240 perfect for everyday use.,SKU877018,530566764229,active,2025-05-21,False
103,Tablet Tablet 897,1,82,483.38,323.5,48.5,131x45x113,High-quality tablet tablet 897 perfect for everyday use.,SKU909921,689573166958,active,2023-12-11,False
104,Sneakers Sneakers 829,2,22,154.51,80.6,33.46,48x179x93,High-quality sneakers sneakers 829 perfect for everyday use.,SKU246740,208716908655,active,2024-08-09,False
105,Desk Chair Desk Chair 729,26,44,125.21,40.9,26.5,168x17x97,High-quality desk chair desk chair 729 perfect for everyday use.,SKU423500,201358163061,discontinued,2025-01-07,False
106,Book Book 883,5,99,17.32,6.68,21.97,140x192x195,High-quality book book 883 perfect for everyday use.,SKU994618,425267531307,active,2025-06-06,False
107,Blender Blender 407,27,59,117.26,81.14,14.54,159x57x14,High-quality blender blender 407 perfect for everyday use.,SKU449563,637864630026,active,2024-04-24,False
108,Sneakers Plus 531,2,89,71.64,44.06,41.29,138x158x51,High-quality sneakers plus 531 perfect for everyday use.,SKU547871,142676251447,active,2024-04-21,False
109,Bed Frame Bed Frame 670,26,62,240.99,148.87,9.9,78x147x116,High-quality bed frame bed frame 670 perfect for everyday use.,SKU292890,852976356309,active,2025-07-26,False
110,Headphones Headphones 518,1,42,131.68,74.31,24.18,136x17x30,High-quality headphones headphones 518 perfect for everyday use.,SKU636749,491303217246,active,2024-07-20,False
111,Jeans Deluxe 608,2,96,47.01,23.11,8.21,106x155x21,High-quality jeans deluxe 608 perfect for everyday use.,SKU425469,328597417667,active,2024-08-19,False
112,Toothbrush Toothbrush 744,9,44,12.53,5.07,29.42,154x12x181,High-quality toothbrush toothbrush 744 perfect for everyday use.,SKU138725,152021354875,active,2024-04-01,False
113,Board Game Pro 644,7,88,56.24,35.6,8.27,185x26x143,High-quality board game pro 644 perfect for everyday use.,SKU723327,827608686259,active,2024-04-12,False
114,Book Book 499,5,100,15.54,10.49,31.0,176x162x190,High-quality book book 499 perfect for everyday use.,SKU580060,506230199956,active,2024-07-07,False
115,Yoga Mat Yoga Mat 827,50,17,56.41,33.94,37.12,156x18x50,High-quality yoga mat yoga mat 827 perfect for everyday use.,SKU250427,581343243103,discontinued,2024-02-09,False
116,Bed Frame Bed Frame 406,26,78,517.29,193.99,22.65,25x123x8,High-quality bed frame bed frame 406 perfect for everyday use.,SKU444107,738879017067,discontinued,2024-04-05,False
117,Jacket Jacket 908,2,55,125.2,83.93,43.71,138x105x138,High-quality jacket jacket 908 perfect for everyday use.,SKU209902,297924978670,active,2025-02-18,False
118,Jeans Jeans 969,2,74,82.91,50.59,49.3,130x142x25,High-quality jeans jeans 969 perfect for everyday use.,SKU388465,732805703998,active,2025-09-17,False
119,Laptop Laptop 555,1,41,1127.61,359.48,43.09,113x154x58,High-quality laptop laptop 555 perfect for everyday use.,SKU331746,971118635654,active,2024-09-11,True
120,Cat Toy Cat Toy 651,12,60,16.26,9.79,0.69,176x86x54,High-quality cat toy cat toy 651 perfect for everyday use.,SKU232683,536683646758,out_of_stock,2025-09-08,False
121,Headphones Headphones 906,1,69,196.12,59.65,28.72,126x83x39,High-quality headphones headphones 906 perfect for everyday use.,SKU777713,447317424792,active,2024-10-06,False
122,Notebook Pro 806,14,13,12.97,8.18,35.89,15x77x88,High-quality notebook pro 806 perfect for everyday use.,SKU163959,249805537049,discontinued,2024-11-26,False
123,Blender Blender 451,27,68,142.59,88.12,19.02,107x40x117,High-quality blender blender 451 perfect for everyday use.,SKU182696,856846393562,active,2024-10-06,False
124,Toothbrush Toothbrush 314,9,8,7.24,4.48,31.37,144x87x197,High-quality toothbrush toothbrush 314 perfect for everyday use.,SKU982433,576616788499,active,2025-06-28,False
125,Book Book 188,5,49,23.01,14.83,24.42,52x96x93,High-quality book book 188 perfect for everyday use.,SKU928221,228321686001,active,2025-06-17,False
126,Sneakers Sneakers 728,2,66,65.96,23.32,23.63,51x121x12,High-quality sneakers sneakers 728 perfect for everyday use.,SKU996805,697680811109,discontinued,2024-01-29,False
127,Paint Set Paint Set 451,15,67,75.28,31.47,40.38,70x22x185,High-quality paint set paint set 451 perfect for everyday use.,SKU816133,183374801375,active,2025-08-24,False
128,Toothbrush Toothbrush 431,9,69,10.62,4.06,31.78,81x109x72,High-quality toothbrush toothbrush 431 perfect for everyday use.,SKU144935,512210830128,discontinued,2025-05-24,True
129,Cat Toy Plus 108,12,27,8.96,4.43,46.69,135x31x72,High-quality cat toy plus 108 perfect for everyday use.,SKU764545,844142439051,active,2024-12-25,False
130,Desk Chair Desk Chair 913,26,53,163.42,50.44,2.34,131x107x71,High-quality desk chair desk chair 913 perfect for everyday use.,SKU828941,825494892230,active,2024-01-16,False
131,Baby Diaper Baby Diaper 277,13,36,27.64,16.73,25.51,200x74x86,High-quality baby diaper baby diaper 277 perfect for everyday use.,SKU891044,486379193540,discontinued,2025-06-06,False
132,Sneakers Sneakers 564,2,59,79.01,39.22,9.91,169x113x146,High-quality sneakers sneakers 564 perfect for everyday use.,SKU687150,233080074108,active,2025-06-12,False
133,Jacket Plus 704,2,9,165.66,84.34,10.36,125x118x171,High-quality jacket plus 704 perfect for everyday use.,SKU883719,342717059925,active,2025-02-01,False
134,Book Book 949,5,2,15.02,5.9,31.17,33x94x54,High-quality book book 949 perfect for everyday use.,SKU637553,803626902730,active,2024-07-26,False
135,T-Shirt T-Shirt 457,2,6,24.26,8.9,3.48,48x64x26,High-quality t-shirt t-shirt 457 perfect for everyday use.,SKU740903,894718630264,discontinued,2023-11-30,False
136,Blender Premium 167,27,64,42.16,24.58,41.96,74x30x149,High-quality blender premium 167 perfect for everyday use.,SKU325539,397038052852,active,2024-09-13,False
137,Sneakers Standard 831,2,82,146.26,49.66,7.3,75x144x124,High-quality sneakers standard 831 perfect for everyday use.,SKU129529,901386702293,discontinued,2024-03-06,False
138,Notebook Notebook 986,14,24,19.0,8.79,4.0,131x81x41,High-quality notebook notebook 986 perfect for everyday use.,SKU294534,114128778571,active,2024-12-31,False
139,Baby Diaper Max 210,13,5,28.34,15.55,19.19,115x30x181,High-quality baby diaper max 210 perfect for everyday use.,SKU500013,152463507577,active,2024-05-30,True
140,Bed Frame Bed Frame 768,26,20,301.9,203.39,1.69,90x65x105,High-quality bed frame bed frame 768 perfect for everyday use.,SKU941574,892052548066,active,2025-05-13,True
141,Yoga Mat Yoga Mat 656,45,60,57.09,17.35,15.72,20x29x131,High-quality yoga mat yoga mat 656 perfect for everyday use.,SKU355218,465658747305,active,2024-03-01,False
142,Laptop Standard 191,1,84,932.65,570.29,8.1,32x57x143,High-quality laptop standard 191 perfect for everyday use.,SKU952489,720110276221,active,2025-08-17,False
143,Sofa Sofa 607,26,33,713.8,248.39,46.11,76x195x109,High-quality sofa sofa 607 perfect for everyday use.,SKU930836,222389293428,active,2024-02-23,False
144,Tablet Tablet 565,1,7,354.1,140.91,7.32,62x199x82,High-quality tablet tablet 565 perfect for everyday use.,SKU407375,966968477064,out_of_stock,2025-05-17,False
145,Smart Watch Smart Watch 115,1,76,200.42,74.64,4.21,192x175x191,High-quality smart watch smart watch 115 perfect for everyday use.,SKU117844,398858174116,active,2024-11-20,False
146,Blender Blender 484,27,24,107.87,41.35,31.31,85x29x62,High-quality blender blender 484 perfect for everyday use.,SKU236891,548696628239,active,2025-07-10,False
147,Toothbrush Toothbrush 124,9,35,14.65,8.36,41.38,96x154x143,High-quality toothbrush toothbrush 124 perfect for everyday use.,SKU467793,517092635387,discontinued,2025-08-22,False
148,Headphones Headphones 649,1,22,195.36,124.37,27.07,108x198x184,High-quality headphones headphones 649 perfect for everyday use.,SKU399405,768866023763,active,2024-03-29,False
149,Jacket Jacket 910,2,87,229.4,158.81,10.77,102x20x7,High-quality jacket jacket 910 perfect for everyday use.,SKU624497,394314862615,active,2024-11-13,False
150,Laptop Laptop 773,1,73,1190.24,399.24,1.72,79x163x150,High-quality laptop laptop 773 perfect for everyday use.,SKU236974,577109680609,active,2024-11-25,True
151,Dumbbells Dumbbells 847,45,42,73.77,46.73,14.0,73x135x116,High-quality dumbbells dumbbells 847 perfect for everyday use.,SKU383554,147032399841,out_of_stock,2024-04-30,False
152,Sneakers Sneakers 542,2,2,86.25,50.52,49.89,56x195x191,High-quality sneakers sneakers 542 perfect for everyday use.,SKU615551,262102990573,active,2025-09-14,False
153,Board Game Board Game 879,7,3,28.71,9.31,18.91,79x195x187,High-quality board game board game 879 perfect for everyday use.,SKU522897,363940502273,active,2024-01-30,False
154,Laptop Laptop 685,1,12,1337.68,705.29,6.04,5x10x153,High-quality laptop laptop 685 perfect for everyday use.,SKU997448,202436665366,active,2024-08-31,False
155,Notebook Notebook 242,14,59,15.28,5.82,29.14,141x152x191,High-quality notebook notebook 242 perfect for everyday use.,SKU582167,889157345231,active,2024-01-05,True
156,Laptop Laptop 962,1,71,1465.67,992.44,50.0,104x67x15,High-quality laptop laptop 962 perfect for everyday use.,SKU153123,995916112948,active,2024-02-03,False
157,Cat Toy Max 199,12,58,15.85,6.3,4.9,26x86x28,High-quality cat toy max 199 perfect for everyday use.,SKU794317,712480070580,active,2023-12-07,False
158,Jacket Jacket 877,2,20,177.47,110.38,9.54,71x175x8,High-quality jacket jacket 877 perfect for everyday use.,SKU171736,324897453435,out_of_stock,2024-11-01,False
159,Jacket Jacket 557,2,78,134.68,91.23,14.24,185x74x108,High-quality jacket jacket 557 perfect for everyday use.,SKU552924,260810519479,active,2025-08-05,True
160,Bed Frame Pro 929,26,12,283.57,172.41,7.7,40x172x61,High-quality bed frame pro 929 perfect for everyday use.,SKU638274,754753755633,active,2024-12-07,False
161,Smart Watch Basic 612,1,89,460.53,229.69,6.88,63x96x168,High-quality smart watch basic 612 perfect for everyday use.,SKU302011,441070164077,active,2025-04-18,False
162,Sneakers Sneakers 117,2,80,61.18,20.49,38.6,40x146x184,High-quality sneakers sneakers 117 perfect for everyday use.,SKU448143,701755768373,active,2025-06-02,False
163,Tablet Tablet 435,1,86,407.57,125.19,19.94,13x20x123,High-quality tablet tablet 435 perfect for everyday use.,SKU730839,341260738547,discontinued,2025-08-03,False
164,Coffee Maker Ultra 675,27,12,86.35,30.86,36.2,195x49x56,High-quality coffee maker ultra 675 perfect for everyday use.,SKU233328,909892526794,active,2023-12-26,False
165,Yoga Mat Premium 645,4,95,64.34,19.6,37.6,62x192x198,High-quality yoga mat premium 645 perfect for everyday use.,SKU371108,517952100435,active,2025-08-12,False
166,Book Book 550,5,82,18.38,7.12,41.28,11x32x164,High-quality book book 550 perfect for everyday use.,SKU192392,359127816457,active,2025-09-21,False
167,Notebook Notebook 416,14,31,12.38,4.45,48.06,26x130x109,High-quality notebook notebook 416 perfect for everyday use.,SKU660734,276819839028,active,2024-11-07,False
